,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
107,Qasigiannguit,75,GL,1567628126,75,68.82,-51.19,42.8,3.36
108,Port Blair,100,IN,1567628049,81,11.67,92.75,82.13,24.4
109,Ilulissat,75,GL,1567628076,75,69.22,-51.1,42.8,3.36
110,Qalyub,0,EG,1567628262,51,30.18,31.21,84.2,8.05
111,Touros,75,BR,1567628084,88,-5.2,-35.46,77.0,6.93
112,Barrow,99,AR,1567628039,63,-38.31,-60.23,42.53,7.99
113,Ancud,0,CL,1567628094,56,-41.87,-73.83,49.91,8.59
114,Richards Bay,46,ZA,1567628093,76,-28.77,32.06,69.71,14.9
115,Poum,0,MK,1567628119,53,41.28,20.71,58.19,3.67
116,Pochutla,40,MX,1567628263,55,15.74,-96.47,91.99,11.41
117,Leeuwarden,0,NL,1567628263,76,53.2,5.79,60.8,9.17
118,Hamilton,75,CA,1567627885,68,43.26,-79.87,71.01,11.41
119,Sinnamary,100,GF,1567628263,79,5.38,-52.96,82.13,20.67
120,Gotsu,100,JP,1567628263,79,35.01,132.22,78.53,5.91
121,Khorramshahr,0,IR,1567628263,30,30.43,48.18,93.2,9.17
122,Udachnyy,90,RU,1567628264,100,66.42,112.4,39.2,2.24
123,Kapaa,40,US,1567628051,66,22.08,-159.32,86.0,12.75
124,San Patricio,66,PY,1567628047,62,-26.98,-56.83,60.89,9.35
125,Humboldt,78,CA,1567628121,51,52.21,-105.12,72.05,14.2
126,Arraial do Cabo,75,BR,1567628040,94,-22.97,-42.02,71.6,11.41
127,Birao,100,CF,1567628264,97,10.3,22.78,72.41,6.44
128,Namuac,100,PH,1567628264,88,18.61,121.17,73.85,5.21
129,Vaini,100,IN,1567628047,92,15.34,74.49,75.29,5.99
130,Uige,100,AO,1567628264,69,-7.61,15.06,72.41,2.71
131,Maputo,20,MZ,1567628264,78,-25.97,32.57,73.4,13.87
132,Ganzhou,1,CN,1567628265,93,25.86,114.93,70.97,3.96
133,Amarante do Maranhao,18,BR,1567628265,40,-5.57,-46.74,89.51,4.45
134,Sola,0,TZ,1567628135,48,-3.17,33.8,71.69,1.88
135,Kindu,67,CD,1567628265,75,-2.95,25.92,75.29,0.87
136,Lanzhou,0,CN,1567628265,67,36.06,103.82,60.8,6.71
137,Talakan,92,RU,1567628265,99,50.29,130.28,63.41,5.97
138,Marzuq,1,YE,1567628266,16,14.4,46.47,82.31,3.4
139,Cabo San Lucas,20,MX,1567627921,52,22.89,-109.91,93.0,10.29
140,Kargasok,14,RU,1567628266,93,59.06,80.87,42.89,1.1
141,Carnarvon,65,ZA,1567628085,31,-30.97,22.13,54.95,15.99
142,Deputatskiy,90,RU,1567628098,85,69.3,139.9,38.21,2.51
143,Ures,0,MX,1567628266,43,30.73,-112.95,100.99,5.01
144,Katangli,80,RU,1567628266,89,51.71,143.23,58.73,12.15
145,Bafata,100,GW,1567628266,93,12.17,-14.67,75.29,9.57
146,Georgetown,40,GY,1567628042,79,6.8,-58.16,86.0,6.93
147,North Bend,40,US,1567628128,64,43.41,-124.22,75.99,13.87
148,Esperance,40,AU,1567628082,100,-33.86,121.89,42.8,8.05
149,Zhezkazgan,91,KZ,1567628267,60,47.8,67.71,54.41,12.77
150,Sorong,100,ID,1567628267,95,-0.86,131.25,73.13,6.24
151,Atar,70,MR,1567628267,20,20.52,-13.05,101.03,8.05
152,Waitati,100,NZ,1567628267,83,-45.75,170.57,48.99,18.01
153,Port Hardy,20,CA,1567628067,82,50.7,-127.42,59.0,5.82
154,Makakilo City,40,US,1567627948,66,21.35,-158.09,87.01,12.75
155,Fare,16,PF,1567628267,81,-16.7,-151.02,77.81,22.48
156,Skibbereen,40,IE,1567628268,71,51.55,-9.27,53.6,13.87
157,Bay Roberts,90,CA,1567628268,93,47.58,-53.28,68.0,11.41
158,Half Moon Bay,75,US,1567628268,87,37.46,-122.43,84.99,9.17
159,Laguna,75,BZ,1567628099,66,16.17,-88.94,91.4,6.93
160,Tuktoyaktuk,75,CA,1567628056,87,69.44,-133.03,48.2,8.05
161,Qaanaaq,30,GL,1567628066,49,77.48,-69.36,33.71,4.52
162,Bonavista,100,CA,1567628118,76,48.65,-53.11,59.0,1.01
163,Shahe,0,CN,1567628268,37,36.85,114.5,63.41,5.68
164,Hofn,20,IS,1567628106,62,64.25,-15.21,51.8,8.05
165,Faanui,27,PF,1567628055,81,-16.48,-151.75,77.99,21.32
166,Ayan,0,IR,1567628268,53,38.23,44.7,56.21,2.93
167,Aykhal,90,RU,1567628108,100,65.95,111.51,39.2,2.24
168,Lorengau,63,PG,1567628077,85,-2.02,147.27,79.25,9.42
169,Calvinia,69,ZA,1567628269,67,-31.47,19.78,54.23,12.15
170,Saint-Francois,0,FR,1567628110,37,46.42,3.91,69.8,4.7
171,Namangan,90,UZ,1567628269,52,41.0,71.67,69.8,9.17
172,Goya,0,AR,1567628269,47,-29.14,-59.27,58.19,9.93
173,Katherine,35,AU,1567628127,59,-14.47,132.26,64.4,2.24
174,Novita,100,CO,1567628269,78,4.96,-76.61,81.23,4.72
175,Hovd,0,NO,1567628103,66,63.83,10.7,55.4,10.29
176,Kazerun,0,IR,1567628270,21,29.62,51.65,75.65,0.89
177,Sorland,75,NO,1567628128,87,67.67,12.69,50.0,2.24
178,San Jeronimo,75,PE,1567628270,66,-13.65,-73.37,51.8,6.93
179,Yulara,0,AU,1567628062,13,-25.24,130.99,59.0,8.05
180,Magugu,0,TZ,1567628270,76,-4.02,35.77,55.13,8.01
181,Geraldton,40,CA,1567628067,45,49.72,-86.95,62.6,12.75
182,Panaba,60,MX,1567628270,69,21.28,-88.27,86.63,10.11
183,Benguela,100,AO,1567628271,87,-12.58,13.4,69.17,7.52
184,Placido de Castro,99,BR,1567628271,88,-10.34,-67.19,75.65,9.13
185,Jaisalmer,51,IN,1567628271,51,26.91,70.91,93.11,11.9
186,Palafrugell,0,ES,1567628271,78,41.92,3.16,77.0,2.24
187,Banda Aceh,100,ID,1567628271,83,5.56,95.32,82.49,17.81
188,Porto-Vecchio,0,FR,1567628272,78,41.59,9.28,73.4,4.7
189,Mount Isa,9,AU,1567628079,43,-20.73,139.49,51.8,9.73
190,Moranbah,0,AU,1567628272,28,-22.0,148.04,61.07,8.19
191,Usinsk,0,RU,1567628272,81,66.0,57.56,49.19,10.47
192,Sosnovo-Ozerskoye,0,RU,1567628130,94,52.53,111.54,49.01,1.72
193,Hithadhoo,10,MV,1567628055,80,-0.6,73.08,82.67,15.82
194,Umm Kaddadah,44,SD,1567628272,50,13.6,26.69,86.99,21.74
195,Port Lincoln,0,AU,1567628066,67,-34.72,135.86,57.11,21.72
196,Poya,44,NC,1567628272,62,-21.35,165.16,68.45,11.27
197,Susangerd,0,IR,1567628273,19,31.56,48.19,95.0,9.17
198,Port-Gentil,40,GA,1567628273,88,-0.72,8.78,77.0,12.75
199,Booue,97,GA,1567628273,90,-0.09,11.94,74.75,2.59
200,Khandagayty,100,MN,1567628273,95,50.73,92.07,40.91,3.4
201,Banting,75,MY,1567628273,88,2.82,101.5,80.6,6.38
202,Vao,58,EE,1567628273,96,59.1,26.19,51.89,6.8
203,Acapulco,20,MX,1567628054,74,16.86,-99.88,86.0,8.05
204,Araouane,0,ML,1567628274,25,18.9,-3.53,97.43,8.03
205,Saint Paul,1,US,1567628193,49,44.95,-93.1,72.0,4.7
206,Constitucion,75,MX,1567628071,43,23.99,-104.67,73.0,6.93
207,Dali,28,CN,1567628274,70,34.79,109.94,67.37,2.51
208,Rosario,75,UY,1567628274,55,-34.31,-57.35,46.99,1.01
209,Narsaq,75,GL,1567628055,71,60.91,-46.05,51.8,8.05
210,Halifax,20,CA,1567628098,73,44.65,-63.58,73.99,11.41
211,Timizart,0,DZ,1567628274,71,36.8,4.25,76.19,9.51
212,Husavik,67,CA,1567628095,39,50.56,-96.99,75.0,8.99
213,Manacapuru,40,BR,1567628092,59,-3.3,-60.62,91.4,6.93
214,Tulsipur,5,IN,1567628275,79,27.53,82.41,81.05,7.05
215,Manicore,86,BR,1567628175,33,-5.81,-61.3,96.89,0.72
216,Glomfjord,40,NO,1567628275,81,66.82,13.94,48.2,10.29
217,Ardakan,0,IR,1567628275,23,32.31,54.02,84.2,11.41
218,Kahului,20,US,1567627920,58,20.89,-156.47,86.0,16.11
219,Anda,23,CN,1567628275,80,46.41,125.33,65.93,9.6
220,Fallon,1,US,1567628275,33,46.84,-105.12,91.99,4.7
221,Concepcion del Oro,100,MX,1567628275,90,24.63,-101.42,57.65,15.48
222,Gorontalo,70,ID,1567628131,91,0.54,123.06,67.55,2.08
223,Fairbanks,90,US,1567628237,76,64.84,-147.72,57.99,3.36
224,Harindanga,40,IN,1567628276,94,22.04,88.32,80.6,5.82
225,Lapi,8,EE,1567628276,93,57.91,26.99,55.4,2.24
226,Chapais,90,CA,1567628276,93,49.78,-74.86,48.2,9.17
227,Aswan,0,EG,1567628276,20,24.09,32.9,93.2,4.7
228,Jawhar,100,IN,1567628277,98,19.91,73.23,74.75,5.61
229,Yamada,40,JP,1567628277,94,36.58,137.08,78.01,1.12
230,Maltahohe,100,NA,1567628277,21,-24.83,16.98,60.35,8.59
231,Buckeye,0,US,1567628101,26,33.37,-112.58,111.0,6.93
232,Teahupoo,40,PF,1567628277,74,-17.83,-149.27,82.0,2.24
233,Tasiilaq,75,GL,1567628079,59,65.61,-37.64,44.6,20.8
234,Lafiagi,100,NG,1567628277,81,8.85,5.42,77.09,1.3
235,Pisco,40,PE,1567628067,30,-13.71,-76.2,71.6,9.17
236,Port Moresby,40,PG,1567628096,83,-9.47,147.16,69.8,3.36
237,Caraquet,75,CA,1567628277,68,47.79,-64.94,69.8,6.93
238,Codrington,0,AU,1567628124,93,-28.95,153.24,50.0,9.17
239,Elk City,1,US,1567628278,35,35.41,-99.4,95.0,3.36
240,Los Llanos de Aridane,0,ES,1567628133,64,28.66,-17.92,75.2,9.17
241,Les Cayes,1,HT,1567628278,76,18.19,-73.75,84.83,15.68
242,Lompoc,40,US,1567628045,82,34.64,-120.46,99.0,8.05
243,Effium,100,NG,1567628278,92,6.63,8.06,76.19,9.48
244,Matamoros,75,US,1567628278,83,25.87,-97.51,86.0,20.8
245,Mahibadhoo,96,MV,1567628278,78,3.78,72.97,82.67,8.7
246,Vestmannaeyjar,100,IS,1567628113,90,63.44,-20.27,51.71,14.38
247,Tessalit,14,ML,1567628108,16,20.2,1.01,99.77,4.85
248,Vikhorevka,100,RU,1567628279,87,56.12,101.17,53.6,4.47
249,Maryville,1,US,1567628101,46,35.76,-83.97,95.0,5.82
250,Ardesen,20,TR,1567628279,88,41.19,40.99,69.8,6.93
251,Strezhevoy,0,RU,1567628279,100,60.73,77.6,46.4,4.47
252,Snasa,0,NO,1567628279,87,64.25,12.38,51.8,1.12
253,Vestmanna,0,FO,1567628084,75,62.16,-7.17,44.6,14.99
254,Leningradskiy,100,RU,1567628091,91,69.38,178.42,37.85,11.18
255,Willowmore,67,ZA,1567628280,80,-33.3,23.49,50.09,6.24
256,Coihaique,0,CL,1567628060,78,-45.58,-72.07,36.05,6.22
257,Labuhan,92,ID,1567628280,89,-2.54,115.51,69.89,1.28
258,Polyarnyy,75,RU,1567628280,71,69.2,33.45,53.6,4.47
259,Buala,49,SB,1567628280,84,-8.15,159.59,79.25,11.36
260,Imbituba,75,BR,1567628032,72,-28.24,-48.67,59.0,10.29
261,Hailar,95,CN,1567628117,96,49.2,119.7,58.73,7.92
262,Khalkhal,2,IR,1567628280,85,37.62,48.53,52.07,3.83
263,Carlsbad,0,CZ,1567628281,48,50.23,12.87,64.99,4.7
264,Westport,75,US,1567628259,78,41.14,-73.36,86.0,8.05
265,Quelimane,0,MZ,1567628281,73,-17.88,36.89,71.6,4.7
266,Vanimo,100,PG,1567628281,77,-2.67,141.3,80.33,11.27
267,Saint-Philippe,90,CA,1567628061,60,45.36,-73.48,73.99,25.28
268,Sonoita,1,US,1567628281,19,31.68,-110.66,105.01,19.46
269,Luderitz,34,NA,1567627998,82,-26.65,15.16,57.2,25.28
270,Wanxian,100,CN,1567628282,78,30.8,108.39,69.89,3.78
271,Kano,75,NG,1567628282,94,11.99,8.53,71.6,13.87
272,Milkovo,75,BG,1567628069,50,41.53,24.68,80.01,10.29
273,Hambantota,100,LK,1567627997,81,6.12,81.12,81.59,15.52
274,Zapolyarnyy,0,RU,1567628064,54,69.43,30.82,55.4,26.4
275,Dashitou,94,CN,1567628282,97,43.3,128.5,55.13,6.29
276,Magistralnyy,100,RU,1567628282,89,56.17,107.45,48.47,2.75
277,Saint-Joseph,0,FR,1567628105,64,43.56,6.97,78.8,2.24
278,Grand Gaube,75,MU,1567628051,83,-20.01,57.66,73.0,14.99
279,Gao,100,ML,1567628283,57,16.28,-0.04,83.75,18.84
280,Alvinopolis,18,BR,1567628283,55,-20.11,-43.05,71.51,3.06
281,Rorvik,0,NO,1567628283,81,64.86,11.24,51.8,11.41
282,Gewane,7,ET,1567628116,41,10.16,40.66,87.71,10.65
283,Torbay,90,CA,1567628100,93,47.66,-52.73,68.0,11.41
284,Morwell,78,AU,1567628283,97,-38.24,146.4,48.0,1.01
285,Baglan,75,GB,1567628283,71,51.62,-3.81,60.01,18.34
286,Juneau,75,US,1567628107,82,58.3,-134.42,61.0,1.34
287,Turukhansk,54,RU,1567628284,89,65.8,87.96,41.81,6.29
288,Coquimbo,100,CL,1567627913,87,-29.95,-71.34,52.97,9.8
289,Nago,5,IT,1567628284,73,45.88,10.89,73.4,1.12
290,Caravelas,0,BR,1567628284,82,-17.73,-39.27,73.85,11.3
291,Xuddur,16,SO,1567628284,68,4.12,43.89,75.29,19.06
292,Victoria,75,BN,1567628073,88,5.28,115.24,78.8,3.87
293,Pangai,75,TO,1567628284,88,-19.8,-174.35,75.2,10.29
294,Kruisfontein,100,ZA,1567628124,90,-34.0,24.73,54.05,3.33
295,Comarapa,100,BO,1567628285,48,-17.91,-64.53,68.63,7.4
296,Pangnirtung,75,CA,1567628123,93,66.15,-65.72,44.6,11.41
297,Ribeira Grande,20,PT,1567628082,73,38.52,-28.7,73.4,12.75
298,Katsuura,75,JP,1567628096,94,33.93,134.5,77.0,9.17
299,Wilkie,90,CA,1567628285,87,52.41,-108.71,68.0,5.82
300,Eureka,20,US,1567627952,77,40.8,-124.16,70.0,13.87
301,Cockburn Town,40,TC,1567628285,66,21.46,-71.14,87.8,17.22
302,Erenhot,100,CN,1567628285,22,43.65,111.97,71.33,6.2
303,Pundaguitan,100,PH,1567628285,85,6.37,126.17,80.87,12.71
304,Srednekolymsk,7,RU,1567628285,55,67.46,153.71,47.75,9.69
305,Laem Sing,100,TH,1567628286,78,12.48,102.07,84.0,17.34
306,Puerto Escondido,20,MX,1567628286,70,15.86,-97.07,86.0,10.29
307,Sivani,100,IN,1567628286,92,22.09,79.55,74.75,3.49
308,Lucea,40,JM,1567628286,74,18.44,-78.17,87.8,13.87
309,Khandyga,0,RU,1567628286,87,62.65,135.58,37.85,0.92
310,Sokolo,31,ML,1567628094,54,14.74,-6.12,86.45,8.03
311,Maceio,75,BR,1567628110,73,-9.67,-35.74,77.0,8.05
312,Koppies,43,ZA,1567628287,12,-27.24,27.57,55.67,8.14
313,Zhigansk,99,RU,1567627924,78,66.77,123.37,36.41,5.41
314,Kijang,75,KR,1567628102,94,35.24,129.21,73.4,4.7
315,Mecca,89,SA,1567628107,59,21.43,39.83,84.47,5.26
316,Strelka,66,RU,1567628287,97,58.08,93.03,41.81,3.29
317,Prudentopolis,100,BR,1567628287,83,-25.21,-50.98,61.79,1.83
318,Santander Jimenez,100,MX,1567628287,83,24.22,-98.47,80.87,4.99
319,Sistranda,75,NO,1567628287,76,63.73,8.83,54.0,6.93
320,Zhuhai,0,CN,1567628288,58,40.71,112.04,57.2,4.47
321,Vega de Alatorre,0,MX,1567628288,47,20.03,-96.65,92.57,6.6
322,Teya,75,MX,1567628288,47,21.05,-89.07,96.8,4.7
323,Bahia Blanca,89,AR,1567628129,54,-38.72,-62.27,43.79,11.45
324,Salalah,75,OM,1567628091,88,17.01,54.1,80.6,2.24
325,Kavieng,100,PG,1567628039,76,-2.57,150.8,81.95,8.59
326,Kappeln,75,DE,1567628288,93,54.66,9.93,61.0,8.05
327,San Felipe,100,CL,1567628288,33,-32.75,-70.73,70.0,3.0
328,Parkes,0,AU,1567628288,71,-33.14,148.18,48.0,4.36
329,Peleduy,72,RU,1567628122,85,59.63,112.75,45.23,4.23
330,Minot,1,US,1567628289,44,48.23,-101.3,78.01,8.05
331,Mondeville,0,FR,1567628289,71,49.18,-0.32,60.8,10.29
332,Ostrovnoy,100,RU,1567628054,83,68.05,39.51,51.17,13.29
333,Itarema,34,BR,1567628289,73,-2.92,-39.92,77.45,12.53
334,Saint-Augustin,75,CA,1567628108,60,45.63,-73.98,73.99,14.99
335,Mnogovershinnyy,100,RU,1567628289,92,53.94,139.92,53.33,1.66
336,Preobrazheniye,100,RU,1567628290,80,42.9,133.91,61.07,1.28
337,Jalu,0,LY,1567628109,63,29.03,21.55,79.61,17.47
338,Damghan,0,IR,1567628290,81,36.17,54.34,52.25,2.55
339,Aksarka,37,RU,1567628109,91,66.56,67.8,47.75,5.53
340,Marquette,5,US,1567628241,51,46.54,-87.4,62.01,8.05
341,Khatanga,100,RU,1567628084,63,71.98,102.47,34.79,5.73
342,Narva-Joesuu,33,EE,1567628290,82,59.46,28.04,58.01,12.17
343,Adeje,100,NG,1567628290,86,5.68,5.76,78.35,8.46
344,Flinders,40,AU,1567628089,87,-34.58,150.85,60.01,1.12
345,Pittsburg,1,US,1567628013,29,38.02,-121.89,96.01,5.82
346,Mtwara,20,TZ,1567628291,94,-10.28,40.18,73.4,9.17
347,Serenje,0,ZM,1567628093,49,-13.23,30.22,60.53,8.72
348,Nachalovo,0,RU,1567628291,45,46.34,48.19,62.6,4.21
349,Kendari,100,ID,1567628291,96,-3.99,122.52,68.45,2.37
350,Saint Anthony,1,US,1567628127,25,43.97,-111.68,88.0,10.29
351,Qaqortoq,75,GL,1567628291,66,60.72,-46.03,51.8,13.87
352,Jurmala,0,LV,1567628291,93,56.97,23.77,50.0,1.12
353,Avanigadda,100,IN,1567628292,86,16.02,80.92,76.91,8.93
354,Pedernales,88,EC,1567628292,87,0.07,-80.05,70.79,16.64
355,Silopi,0,IQ,1567628292,20,37.25,42.47,70.43,1.63
356,Calamar,100,CO,1567628292,53,1.96,-72.65,88.25,2.89
357,Cidreira,0,BR,1567628057,54,-30.17,-50.22,52.07,8.86
358,Laurel,5,US,1567628166,49,39.1,-76.85,95.0,4.7
359,Colares,20,PT,1567628292,68,38.8,-9.45,78.8,19.46
360,Russell,1,US,1567628292,51,38.9,-98.86,95.0,11.41
361,Parakou,93,BJ,1567628293,93,9.34,2.63,73.31,1.57
362,Alice Springs,0,AU,1567628293,12,-23.7,133.88,57.2,3.36
363,Chuy,32,UY,1567628066,67,-33.69,-53.46,45.77,14.97
364,Rocha,53,UY,1567628122,75,-34.48,-54.34,41.63,8.32
365,Margate,90,AU,1567628293,80,-43.03,147.26,45.0,3.36
366,Ust-Maya,19,RU,1567628293,95,60.42,134.54,43.97,2.84
367,Narbonne,0,FR,1567628293,27,43.18,3.0,80.6,12.75
368,Terney,100,RU,1567628294,78,45.05,136.61,60.17,4.16
369,Tonota,0,BW,1567628294,22,-21.44,27.46,57.2,2.24
370,Tiksi,97,RU,1567628038,92,71.64,128.87,41.81,10.4
371,Nuuk,75,GL,1567628076,65,64.17,-51.74,44.6,25.28
372,Bayir,0,TR,1567628294,73,37.27,28.22,77.0,4.7
373,Smithers,75,CA,1567627911,72,54.78,-127.17,62.6,2.24
374,Tatarsk,0,RU,1567628294,90,55.22,75.96,43.79,3.56
375,Lasa,20,CY,1567628294,78,34.92,32.53,78.8,3.36
